sexe;prenom;nombre
2;MARINETTE;17392
2;AUGUSTA;17382
1;YOUNES;17375
2;MAËLYS;17304
1;AMIR;17253
1;NASSIM;17187
2;CORINE;17185
1;SAMIR;17080
1;NAËL;17057
2;LÉANE;17003
1;RAFAEL;16869
1;ACHILLE;16836
2;MARIELLE;16830
2;MARIE-ANGE;16787
1;JÉRÉMY;16786
2;TIFFANY;16728
1;MARIO;16714
1;FREDDY;16556
1;LOGAN;16500
1;TIMEO;16467
1;ADOLPHE;16435
2;MAYA;16416
1;YOAN;16365
1;LUCA;16362
2;SOPHIA;16317
1;JORIS;16294
2;MARIE-LINE;16291
1;PABLO;16259
1;FERDINAND;16210
1;RONAN;16132
1;RUBEN;16125
1;BASILE;16118
1;LÉANDRE;16076
2;EMY;16056
2;TATIANA;16048
2;MARYLENE;16042
2;GIULIA;16005
2;NOUR;15989
1;YACINE;15978
2;ALISON;15957
2;SANDY;15937
1;BORIS;15845
1;HAMZA;15801
2;ANGÉLIQUE;15797
2;EVE;15720
2;DOROTHEE;15713
1;LORIS;15612
2;ERNESTINE;15579
1;MATTHIAS;15562
2;CHARLIE;15480
1;JOHNNY;15420
2;LESLIE;15340
2;LYNA;15313
1;CONSTANT;15211
1;ELIAS;15175
1;THIBAUD;15158
2;HELENA;15140
1;KENZO;15119
2;SAMIA;15067
2;SÉVERINE;15067
1;JEAN-NOËL;14924
2;BETTY;14895
2;SYLVETTE;14877
1;BILAL;14795
2;ENORA;14789
1;CHARLIE;14731
2;IDA;14671
1;FLAVIEN;14620
1;SAMI;14613
1;MIGUEL;14608
2;LINE;14570
1;LEOPOLD;14553
1;JOACHIM;14536
1;YANNIS;14406
1;JOHN;14389
2;AMINA;14380
1;JACK;14313
2;NINON;14311
1;MILO;14309
1;THEOPHILE;14242
1;MICKAËL;14238
1;KÉVIN;14192
2;YASMINA;14137
2;EMMY;14121
2;HORTENSE;14105
2;ALEXANDRINE;14075
1;ARSENE;14038
2;AURELIA;13994
1;ISMAEL;13969
1;LYAM;13947
2;LAURIANE;13946
1;ILAN;13895
1;KAMEL;13893
2;KAREN;13889
1;WASSIM;13719
1;LOUKA;13702
2;NOLWENN;13640
1;OWEN;13632
